0.00,60
0.04,48
0.08,45
0.13,46
0.17,50
0.21,48
0.25,53
0.29,51
0.33,50
0.38,40
0.42,46
0.46,54
0.50,44
0.54,43
0.58,57
0.63,47
0.67,29
0.71,35
0.75,47
0.79,62
0.83,65
0.88,62
0.92,57
0.96,57
0.00,57
0.04,52
0.08,56
0.13,54
0.17,54
0.21,59
0.25,64
0.29,51
0.33,54
0.38,42
0.42,33
0.46,48
0.50,60
0.54,47
0.58,33
0.63,38
0.67,48
0.71,68
0.75,66
0.79,45
0.83,40
0.88,53
0.92,40
0.96,29
0.00,34
0.04,51
0.08,59
0.13,48
0.17,35
0.21,45
0.25,51
0.29,67
0.33,59
0.38,68
0.42,70
0.46,69
0.50,73
0.54,70
0.58,57
0.63,63
0.67,74
0.71,66
0.75,62
0.79,44
0.83,45
0.88,62
0.92,68
0.96,51
0.00,36
0.04,40
0.08,46
0.13,54
0.17,53
0.21,52
0.25,49
0.29,61
0.33,70
0.38,60
0.42,52
0.46,62
0.50,68
0.54,56
0.58,55
0.63,65
0.67,62
0.71,59
0.75,67
0.79,69
0.83,54
0.88,58
0.92,57
0.96,60
0.00,72
0.04,76
0.08,64
0.13,62
0.17,73
0.21,76
0.25,76
0.29,77
0.33,64
0.38,60
0.42,57
0.46,62
0.50,64
0.54,65
0.58,72
0.63,73
0.67,75
0.71,73
0.75,58
0.79,52
0.83,57
0.88,62
0.92,69
0.96,66
0.00,68
0.04,74
0.08,75
0.13,73
0.17,78
0.21,76
0.25,77
0.29,85
0.33,80
0.38,72
0.42,66
0.46,65
0.50,70
0.54,76
0.58,76
0.63,76
0.67,76
0.71,79
0.75,79
0.79,76
0.83,76
0.88,83
0.92,72
0.96,61
0.00,64
0.04,65
0.08,74
0.13,73
0.17,74
0.21,76
0.25,78
0.29,80
0.33,79
0.38,78
0.42,78
0.46,80
0.50,70
0.54,68
0.58,76
0.63,78
0.67,81
0.71,82
0.75,80
0.79,83
0.83,83
0.88,83
0.92,83
0.96,83
0.00,83
0.04,83
0.08,77
